Task - Measurement,10/12/2022,10/14/2022
AppStart - Page show,39.226890756302524,43.91056910569106
AppStart - Reach managed,660.9,648.2
Exceptions - NoExceptionHandling,0.00018999978917479414,6.031839754820437E-05
Exceptions - TryCatch,0.0002803093648145249,8.317264075531305E-05
Exceptions - TryCatchFilter,0.0002553259141494436,8.44311377245509E-05
Exceptions - TryCatchFilterInline,0.00018390370295149664,8.445109780439122E-05
Exceptions - TryCatchFilterThrow,0.06581475460157574,0.07290461527508321
Exceptions - TryCatchFilterThrowApplies,0.05469603726922413,0.06209349480892178
Exceptions - TryCatchThrow,0.044486451831878264,0.052161265628986986
JSInterop - JSExportInt,16.639344262295083,15.065088757396449
JSInterop - JSExportString,173.53125,163.14705882352942
JSInterop - JSImportFail,821.2857142857143,877.5
JSInterop - JSImportInt,3.41029207232267,3.4645340751043117
JSInterop - JSImportManyArgs,217.74074074074073,169.23529411764707
JSInterop - JSImportString,151.57894736842104,152.45945945945945
JSInterop - JSImportTask,449.5,396.53846153846155
JSInterop - JSImportTaskFail,3276,3096
JSInterop - LegacyExportInt,25.065989847715738,23.439252336448597
JSInterop - LegacyExportString,177.2258064516129,176.96875
Json - large deserialize,57.494623655913976,54.333333333333336
Json - large serialize,33.97959183673469,32.935064935064936
Json - non-ASCII text deserialize,2.2713807931199237,2.280017528483786
Json - non-ASCII text serialize,1.416234439834025,1.416922647305222
Json - small deserialize,0.2044782087165134,0.191203518592563
Json - small serialize,0.11785642871425715,0.11315736852629474
Span - IndexOf bytes,0.0003633273345330934,0.00022915416916616677
Span - IndexOf chars,0.10567659404357385,0.10535678592844293
Span - Reverse bytes,0.019609411451043123,0.019269479437445843
Span - Reverse chars,0.04703451952552312,0.04667733120042658
Vector - Add 2 Vector128's,0.00017129773607599025,5.6193294993950595E-05
Vector - Create Vector128,0.0001680916287162792,5.453649022754419E-05
Vector - Dot product double,0.00017312979742439656,5.8540435079693E-05
Vector - Dot product float,0.00017666666666666666,6.220472440944882E-05
Vector - Dot product int,0.00017587788944700602,6.141732283464567E-05
Vector - Dot product ulong,0.00017714285714285713,5.95069045267634E-05
Vector - Max double,0.00017312979742439656,5.7159764441020995E-05
Vector - Max float,0.0001699236900646855,5.6331362057817795E-05
Vector - Min double,0.00016946567472758394,5.7988166824224195E-05
Vector - Min float,0.00017129773607599025,5.7573965632622595E-05
Vector - Multiply 2 Vector128's,0.00017129773607599025,5.6883630313286595E-05
Vector - Sum double,0.00017175575141309182,5.7435898568755395E-05
Vector - Sum sbyte,0.00018142857142857142,6.566929133858268E-05
Vector - Sum short,0.00017857142857142857,6.314960629921259E-05
Vector - Sum uint,0.00017312979742439656,6.061144103770101E-05
WebSocket - PartialReceive_100KB,0.01,0.01
WebSocket - PartialReceive_10KB,0.013972055888223553,0.011976047904191617
WebSocket - PartialReceive_1B,0.010246343341031562,0.008645111624326405
WebSocket - PartialSend_1B,0.00597211155378486,0.0052868525896414345
WebSocket - PartialSend_1MB,2.536363636363636,2.418181818181818
WebSocket - PartialSend_64KB,0.159,0.17575
