Task - Measurement,5/24/2022,6/22/2022,6/23/2022,6/24/2022,6/25/2022,6/26/2022,6/27/2022,6/28/2022,6/29/2022,6/30/2022,7/1/2022,7/2/2022,7/3/2022,7/4/2022,7/5/2022,7/6/2022
AppStart - Page show,37.58741258741259,37.84285714285714,37.669117647058826,38.14414414414414,37.34965034965035,37.26618705035971,37.97761194029851,37.51748251748252,37.836879432624116,38.0863309352518,38.05594405594405,37.94915254237288,38.849624060150376,37.97037037037037,38.05691056910569,38.87903225806452
AppStart - Reach managed,391.4,422.85714285714283,420.07142857142856,431.7857142857143,435.35714285714283,434.85714285714283,425.57142857142856,424.57142857142856,440.35714285714283,442.07142857142856,438.42857142857144,437.7857142857143,436.57142857142856,435.64285714285717,437.07142857142856,439.07142857142856
Exceptions - NoExceptionHandling,0.0004620413148008662,0.00047126779684466755,0.0004717001526215893,0.0004721985016894838,0.0004717001526215893,0.00047126779684466755,0.00047176568913064835,0.00047126779684466755,0.00047126779684466755,0.00047176568913064835,0.00047126779684466755,0.0004721985016894838,0.00047176568913064835,0.00047176568913064835,0.0004721985016894838,0.00047176568913064835
Exceptions - TryCatch,0.0004762284786365119,0.0004860606321157105,0.00048699452361703876,0.0004908861438063899,0.00048649931499668135,0.00048649931499668135,0.00048655539419989083,0.0004860606321157105,0.0004860606321157105,0.00048649931499668135,0.00048649931499668135,0.00048649931499668135,0.00048649931499668135,0.00048649931499668135,0.00048655539419989083,0.00048699452361703876
Exceptions - TryCatchFilter,0.000453438753100346,0.00046295397904786724,0.0004631015482117985,0.0004632240294464485,0.0004632240294464485,0.00046334651068109854,0.00046307450859200884,0.0004623571717041469,0.00046464139266584956,0.0004631015482117985,0.0004629249194831984,0.0004629249194831984,0.00046295397904786724,0.0004632240294464485,0.00046307450859200884,0.00046307450859200884
Exceptions - TryCatchFilterInline,0.00038297029702970297,0.000390956268734373,0.000390956268734373,0.0003908552986236461,0.000390956268734373,0.00039102932009686903,0.000390956268734373,0.000390956268734373,0.0003925717905060026,0.00039105723884509983,0.0003908552986236461,0.00039105723884509983,0.0003913381087150029,0.000390956268734373,0.000390956268734373,0.000390956268734373
Exceptions - TryCatchFilterThrow,0.01073767583345369,0.010428581625848955,0.01107739720512126,0.01055329095120423,0.010987373966754473,0.010870172844403971,0.011144935666921117,0.011088059351357692,0.010729740098678634,0.010944085900749712,0.010824241270092218,0.010772934322507897,0.010981923880461441,0.010564955630004615,0.010777456362675646,0.010667528115415199
Exceptions - TryCatchFilterThrowApplies,0.008070281392425509,0.0076844582070230765,0.008195064033348102,0.007708053870230667,0.008098382875436324,0.008138991340831486,0.008352575656544186,0.00835803581057645,0.007929972841029306,0.008074465616670157,0.007990234936758588,0.007846070730997797,0.008073050781272106,0.007855512750867037,0.007921559551808701,0.007843072206302933
Exceptions - TryCatchThrow,0.007811316790169612,0.007351951592175159,0.007825418188809843,0.007606409889943247,0.007780869483482412,0.007796143441290224,0.007887117018470932,0.008092858476844805,0.007538336724786871,0.007706870613551772,0.007564699844707042,0.0077017438038373175,0.007729237850468558,0.007639471631139125,0.007694966486164106,0.007665122466141393
Json - large deserialize,398.93333333333334,396.8,395.8,395.4,393.6,394.8,393.46666666666664,395.3333333333333,399.73333333333335,396.73333333333335,397.46666666666664,394.2,397.46666666666664,393.73333333333335,394.93333333333334,396.53333333333336
Json - large serialize,308.4736842105263,305.36842105263156,306.57894736842104,306.1578947368421,305.3157894736842,305.1578947368421,305.42105263157896,305.6842105263158,308.05263157894734,307.36842105263156,305.42105263157896,304.4736842105263,304.1578947368421,305.42105263157896,303,305.05263157894734
Json - non-ASCII text deserialize,84.81159420289855,84.52173913043478,84.69565217391305,83.92753623188406,84.27536231884058,84.1304347826087,84.2463768115942,84.2463768115942,85,84.56521739130434,84.18840579710145,83.6231884057971,83.6231884057971,83.6086956521739,84.31884057971014,83.71014492753623
Json - non-ASCII text serialize,45.99145299145299,45.95798319327731,45.771186440677965,45.375,45.705882352941174,45.525,45.7,45.56666666666667,45.81512605042017,45.87394957983193,45.72268907563025,45.63333333333333,45.475,45.72268907563025,45.7563025210084,45.79831932773109
